Operation,Dimension,Category,N_Points,Slope,Intercept,R²,RMSE,Correlation,P_Value,Significance
div,1D,div_1D,64,2.1946835472470245e-05,0.9062424300595237,0.7760229013525556,0.02787935653498988,0.8809216204365493,8.192759233245558e-22,*** (p < 0.001)
div,2D,div_2D,64,2.0657586888103107e-05,0.9385338432377042,0.9999466884616618,0.03829983582685689,0.9999733438755561,3.4313259228107533e-134,*** (p < 0.001)
mul,1D,mul_1D,64,1.9452333733974368e-05,0.8945600416666667,0.775932404197331,0.024716990702236354,0.880870253895164,8.296466219355114e-22,*** (p < 0.001)
mul,2D,mul_2D,64,1.7663975156039082e-05,0.9369411036299775,0.999919941044442,0.0401333978838281,0.9999599697210093,1.022627502418648e-128,*** (p < 0.001)
sub,1D,sub_1D,64,2.283835887419873e-05,0.8750715833333332,0.8076807814123258,0.026351337360061487,0.8987106216198437,7.136330084544894e-24,*** (p < 0.001)
sub,2D,sub_2D,64,1.7660415432026945e-05,0.9505632439988281,0.999920361364603,0.0400198313874499,0.9999601798894806,8.686562784455666e-129,*** (p < 0.001)
