Operation_Type,Operation,Input_Shapes,Predicted_Latency_us,Kernel_Name,Actual_Duration_us,Error_Percentage
matmul,linear,"[(2554, 3628), (3628, 2978)]",423.905523,matmul_linear_55,580.6157323,-26.990348449433494
matmul,linear,"[(2554, 1024), (1024, 3955)]",170.0809454,matmul_linear_56,240.610884,-29.312862921030625
matmul,linear,"[(2554, 1675), (1675, 3955)]",275.3503442,matmul_linear_57,420.45669620000007,-34.511604479472204
matmul,linear,"[(2554, 2326), (2326, 3955)]",363.0748432,matmul_linear_58,945.6548751999999,-61.60598832388908
matmul,linear,"[(2554, 2977), (2977, 3955)]",450.7993422,matmul_linear_59,1152.8709734,-60.89767609722006
matmul,linear,"[(2554, 3628), (3628, 3955)]",538.5238412,matmul_linear_60,1336.191982,-59.69712073904662
matmul,linear,"[(3319, 1024), (1024, 1024)]",77.63222827999999,matmul_linear_61,87.1454377,-10.916474426061674
matmul,linear,"[(3319, 1675), (1675, 1024)]",113.56508923999999,matmul_linear_62,136.3762767,-16.72665364679223
matmul,linear,"[(3319, 2326), (2326, 1024)]",143.50914004,matmul_linear_63,181.408875,-20.89188578011963
matmul,linear,"[(3319, 2977), (2977, 1024)]",173.45319084,matmul_linear_64,150.5534283,15.21038929407095
matmul,linear,"[(3319, 3628), (3628, 1024)]",203.39724164,matmul_linear_65,182.32708050000002,11.556243363420707
matmul,linear,"[(3319, 1024), (1024, 2001)]",125.54270955999999,matmul_linear_66,274.9648571999999,-54.34227092203111
matmul,linear,"[(3319, 1675), (1675, 2001)]",197.40843148,matmul_linear_67,204.6125803,-3.520872865899732
matmul,linear,"[(3319, 2326), (2326, 2001)]",257.29653308,matmul_linear_68,274.8099999,-6.372936511179687
matmul,linear,"[(3319, 2977), (2977, 2001)]",317.18463468,matmul_linear_69,332.27428560000004,-4.5413237117498
matmul,linear,"[(3319, 3628), (3628, 2001)]",377.07273628,matmul_linear_70,344.6284106,9.41429222956815
matmul,linear,"[(3319, 1024), (1024, 2978)]",171.0842046,matmul_linear_71,394.27370519999994,-56.6077569100847
matmul,linear,"[(3319, 1675), (1675, 2978)]",277.1060478,matmul_linear_72,362.1680267,-23.486882504528936
matmul,linear,"[(3319, 2326), (2326, 2978)]",365.4575838,matmul_linear_73,409.3806429,-10.72914898683403
matmul,linear,"[(3319, 2977), (2977, 2978)]",453.8091198,matmul_linear_74,454.26630349999994,-0.10064222163903391
matmul,linear,"[(3319, 3628), (3628, 2978)]",542.1606558000001,matmul_linear_75,576.8711073000001,-6.017020277278147
matmul,linear,"[(3319, 1024), (1024, 3955)]",212.18870492,matmul_linear_76,241.78916069999997,-12.242259203970999
matmul,linear,"[(3319, 1675), (1675, 3955)]",349.03892336,matmul_linear_77,592.9968662000001,-41.139836775751256
matmul,linear,"[(3319, 2326), (2326, 3955)]",463.08077206,matmul_linear_78,1144.1277411,-59.525430996474235
matmul,linear,"[(3319, 2977), (2977, 3955)]",577.12262076,matmul_linear_79,1415.1170088,-59.21732145319968
matmul,linear,"[(3319, 3628), (3628, 3955)]",691.1644694600001,matmul_linear_80,1335.9163035,-48.26289134662095
matmul,linear,"[(4084, 1024), (1024, 1024)]",87.53536747999999,matmul_linear_81,107.32499099999998,-18.438970584213696
matmul,linear,"[(4084, 1675), (1675, 1024)]",130.89558284,matmul_linear_82,143.5921608,-8.842110801357887
matmul,linear,"[(4084, 2326), (2326, 1024)]",167.02909563999998,matmul_linear_83,220.23942849999997,-24.16022109319994
