Operation,Dimension,Category,N_Points,Slope,Intercept,R²,RMSE,Correlation,P_Value,Significance
layer,2D,layer_2D,128,2.927100365654356e-06,1.393463414820462,0.9964169761236127,0.3049963715840059,0.9982068804228976,5.880193027364428e-156,*** (p < 0.001)
rms,2D,rms_2D,128,3.229097584471354e-06,1.799989307949093,0.9967793208364792,0.31893938943343236,0.9983883617292818,7.116604586658797e-159,*** (p < 0.001)
