kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,min_duration_us,max_duration_us,stddev_duration_us,num_measurements
"layer_norm_(2,256,128,128)",2,256,128,128,8388608,131.07199099999997,131.062857,131.081429,0.00796230042135985,10
"layer_norm_(2,256,128,256)",2,256,128,256,16777216,391.1160178,390.887232,391.305803,0.15755683213777394,10
"layer_norm_(2,256,128,384)",2,256,128,384,25165824,372.88740160000003,372.878482,372.895625,0.0074887652030631415,10
"layer_norm_(2,256,128,512)",2,256,128,512,33554432,754.9865982,754.917232,755.274375,0.11699797192333487,10
"layer_norm_(2,256,256,128)",2,256,256,128,16777216,390.3725536999999,390.371428,390.374286,0.0010978212817558735,10
"layer_norm_(2,256,256,256)",2,256,256,256,33554432,763.2689732,763.217233,763.477143,0.09070686246095741,10
"layer_norm_(2,256,256,384)",2,256,256,384,50331648,1115.064848,1115.057142,1115.075803,0.006425803814781733,10
"layer_norm_(2,256,256,512)",2,256,256,512,67108864,1463.2389105,1463.120089,1463.448571,0.13808651120887622,10
"layer_norm_(2,256,384,128)",2,256,384,128,25165824,362.4707141,362.468571,362.472946,0.001701453329748563,10
"layer_norm_(2,256,384,256)",2,256,384,256,50331648,1115.4864376,1115.395715,1115.702857,0.1061543388166308,10
"layer_norm_(2,256,384,384)",2,256,384,384,75497472,1117.2138301999998,1117.152768,1117.432768,0.1076519546086335,10
"layer_norm_(2,256,384,512)",2,256,384,512,100663296,2201.6978481,2201.517054,2201.921428,0.17996842913718686,10
"layer_norm_(2,256,512,128)",2,256,512,128,33554432,754.6723125999999,754.668571,754.687143,0.005511007070703705,10
"layer_norm_(2,256,512,256)",2,256,512,256,67108864,1450.9417053,1450.931428,1450.952857,0.005499752035811362,10
"layer_norm_(2,256,512,384)",2,256,512,384,100663296,2201.5874288000005,2201.53134,2201.788661,0.10390902892521109,10
"layer_norm_(2,256,512,512)",2,256,512,512,134217728,2922.4602767999995,2922.384285,2922.697143,0.12199356705601058,10
"layer_norm_(2,512,128,128)",2,512,128,128,16777216,261.23973209999997,261.228661,261.252857,0.009099621084289694,10
"layer_norm_(2,512,128,256)",2,512,128,256,33554432,781.2658572,780.734196,781.797232,0.30811544821589926,10
"layer_norm_(2,512,128,384)",2,512,128,384,50331648,742.2415714,742.235714,742.258572,0.00641190570041094,10
"layer_norm_(2,512,128,512)",2,512,128,512,67108864,1508.7893038,1508.777143,1508.867143,0.027400614412402907,10
"layer_norm_(2,512,256,128)",2,512,256,128,33554432,779.9849998999999,779.978571,779.998482,0.007941914636904465,10
"layer_norm_(2,512,256,256)",2,512,256,256,67108864,1525.5023034,1525.368571,1525.62,0.10255674189465347,10
"layer_norm_(2,512,256,384)",2,512,256,384,100663296,2229.6237411,2229.541517,2229.802857,0.11227547618488368,10
"layer_norm_(2,512,256,512)",2,512,256,512,134217728,2925.026598,2925.008571,2925.045803,0.012869640951576285,10
"layer_norm_(2,512,384,128)",2,512,384,128,50331648,735.5529998000001,735.54866,735.557143,0.002690275731426413,10
"layer_norm_(2,512,384,256)",2,512,384,256,100663296,2229.6841606000003,2229.6,2229.908571,0.12483218683157787,10
"layer_norm_(2,512,384,384)",2,512,384,384,150994944,2225.062,2224.941339,2225.369911,0.15813435101408263,10
"layer_norm_(2,512,384,512)",2,512,384,512,201326592,4401.729562400001,4401.65,4402.034286,0.14901513477218456,10
"layer_norm_(2,512,512,128)",2,512,512,128,67108864,1508.5298572,1508.528483,1508.532768,0.0015550822629002035,10
"layer_norm_(2,512,512,256)",2,512,512,256,134217728,2900.7877055999998,2900.638661,2900.954375,0.1366637981919158,10
"layer_norm_(2,512,512,384)",2,512,512,384,201326592,4401.8411161,4401.67,4402.045714,0.17417873506727452,10
"layer_norm_(2,512,512,512)",2,512,512,512,268435456,5843.3442858,5843.214197,5843.64,0.16924240181711528,10
"layer_norm_(4,3,128,128)",4,3,128,128,196608,8.326874900000002,8.237232,8.404286,0.04135134198400066,10
"layer_norm_(4,3,128,256)",4,3,128,256,393216,10.1741606,10.094286,10.345714,0.09471010155111327,10
"layer_norm_(4,3,128,384)",4,3,128,384,589824,15.774286,15.737143,15.937143,0.07394539826565753,10
"layer_norm_(4,3,128,512)",4,3,128,512,786432,18.7648483,18.734197,18.968572,0.07171779272189055,10
"layer_norm_(4,3,256,128)",4,3,256,128,393216,9.898732200000001,9.895714,9.91,0.004546232599025708,10
"layer_norm_(4,3,256,256)",4,3,256,256,786432,19.024714499999998,18.981429,19.114286,0.04448408184520781,10
"layer_norm_(4,3,256,384)",4,3,256,384,1179648,26.968678599999997,26.964196,26.982857,0.0060203923312540115,10
"layer_norm_(4,3,256,512)",4,3,256,512,1572864,35.6095626,35.521429,35.834286,0.12998355032439038,10
"layer_norm_(4,3,384,128)",4,3,384,128,589824,15.500990900000001,15.498572,15.502857,0.00135349715346779,10
"layer_norm_(4,3,384,256)",4,3,384,256,1179648,27.3560179,27.288661,27.514196,0.10500994410631291,10
"layer_norm_(4,3,384,384)",4,3,384,384,1769472,41.8094555,41.694375,42.087143,0.1544557033242499,10
"layer_norm_(4,3,384,512)",4,3,384,512,2359296,53.024151800000006,52.952857,53.311429,0.13814861387232255,10
"layer_norm_(4,3,512,128)",4,3,512,128,786432,18.4870357,18.477232,18.494285,0.0063881610995132326,10
"layer_norm_(4,3,512,256)",4,3,512,256,1572864,35.2962856,35.20134,35.547054,0.13678043768365933,10
"layer_norm_(4,3,512,384)",4,3,512,384,2359296,52.560446400000004,52.554286,52.571518,0.006145354798545058,10
"layer_norm_(4,3,512,512)",4,3,512,512,3145728,70.19069649999999,70.002857,70.439911,0.1851837431131243,10
"layer_norm_(4,64,128,128)",4,64,128,128,4194304,158.8251158,158.444285,159.217143,0.28130543445111916,10
"layer_norm_(4,64,128,256)",4,64,128,256,8388608,196.01086610000002,195.9,196.131429,0.09161831099179289,10
"layer_norm_(4,64,128,384)",4,64,128,384,12582912,314.61087499999996,314.571429,314.782857,0.07682383976055257,10
"layer_norm_(4,64,128,512)",4,64,128,512,16777216,378.0300001,378.004196,378.111428,0.03907771916592089,10
"layer_norm_(4,64,256,128)",4,64,256,128,8388608,195.5769644,195.567054,195.585625,0.007694596620712818,10
"layer_norm_(4,64,256,256)",4,64,256,256,16777216,382.2194195,382.147143,382.455625,0.11705354503174678,10
"layer_norm_(4,64,256,384)",4,64,256,384,25165824,557.9607054,557.952768,557.971429,0.007928339873839362,10
"layer_norm_(4,64,256,512)",4,64,256,512,33554432,732.2255445,732.194285,732.482768,0.09038758282252277,10
"layer_norm_(4,64,384,128)",4,64,384,128,12582912,314.3437143,314.341429,314.345714,0.0013921461489395561,10
"layer_norm_(4,64,384,256)",4,64,384,256,25165824,558.3485892,558.282768,558.491428,0.08464511754876795,10
"layer_norm_(4,64,384,384)",4,64,384,384,37748736,863.5007320000001,863.411517,863.705714,0.13233853089875225,10
"layer_norm_(4,64,384,512)",4,64,384,512,50331648,1101.5060358,1101.442947,1101.768571,0.11430256063115732,10
"layer_norm_(4,64,512,128)",4,64,512,128,16777216,377.74485719999996,377.738572,377.757143,0.006628921728978646,10
"layer_norm_(4,64,512,256)",4,64,512,256,33554432,726.2078482,726.1,726.434285,0.13977404966892057,10
"layer_norm_(4,64,512,384)",4,64,512,384,50331648,1101.0627323,1101.058571,1101.075625,0.00627819275217549,10
"layer_norm_(4,64,512,512)",4,64,512,512,67108864,1462.1170269999998,1461.981518,1462.511518,0.1732993374136305,10
"layer_norm_(4,128,128,128)",4,128,128,128,8388608,238.71873209999998,238.711428,238.732947,0.008258823274396698,10
"layer_norm_(4,128,128,256)",4,128,128,256,16777216,391.0976964,390.795625,391.284286,0.15585453743168504,10
"layer_norm_(4,128,128,384)",4,128,128,384,25165824,366.0101341,366.007143,366.012857,0.002071772212383282,10
"layer_norm_(4,128,128,512)",4,128,128,512,33554432,754.9949912,754.927143,755.162858,0.10426514034134875,10
"layer_norm_(4,128,256,128)",4,128,256,128,16777216,390.37698209999996,390.36866,390.388482,0.0080427813106657,10
"layer_norm_(4,128,256,256)",4,128,256,256,33554432,763.3024287999999,763.217143,763.444286,0.10181915056259501,10
"layer_norm_(4,128,256,384)",4,128,256,384,50331648,1115.0652767,1115.059911,1115.075803,0.006443020117370708,10
"layer_norm_(4,128,256,512)",4,128,256,512,67108864,1463.1554463999998,1463.125625,1463.361518,0.07256433046031932,10
"layer_norm_(4,128,384,128)",4,128,384,128,25165824,713.9123035,713.897232,713.921428,0.009997297404238803,10
"layer_norm_(4,128,384,256)",4,128,384,256,50331648,1115.4299911999997,1115.388482,1115.641429,0.07463626083852368,10
"layer_norm_(4,128,384,384)",4,128,384,384,75497472,1096.3669998999999,1096.187054,1096.731518,0.18990090772030793,10
"layer_norm_(4,128,384,512)",4,128,384,512,100663296,2201.6571159,2201.517142,2201.911517,0.16723782548042657,10
"layer_norm_(4,128,512,128)",4,128,512,128,33554432,754.6789910000001,754.670089,754.688572,0.006172381028080036,10
