kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count
matmul_32x48x64,32,48,64,1.0448572,1.002857,1.204197,0.05920362877623031,20
matmul_32x48x80,32,48,80,1.0325714,0.998661,1.162946,0.04186956485311826,20
matmul_32x48x96,32,48,96,1.0418390499999999,1.001429,1.191428,0.04938989289049138,20
matmul_32x64x112,32,64,112,1.07065185,1.010089,1.251429,0.0710593541138785,20
matmul_32x64x128,32,64,128,1.07799105,1.03,1.29,0.08008449839123874,20
matmul_32x64x32,32,64,32,1.1184107,1.021429,1.295714,0.08198345307573386,20
matmul_32x64x48,32,64,48,1.029942,1.014375,1.234286,0.048212063554783954,20
matmul_32x64x64,32,64,64,1.1056473,1.039911,1.275715,0.08704743636183908,20
matmul_32x64x80,32,64,80,1.0475001,1.035714,1.211518,0.03957720459650589,20
matmul_32x64x96,32,64,96,1.06141935,1.008482,1.174285,0.04883216405551506,20
matmul_32x80x112,32,80,112,1.05870555,1.032768,1.164375,0.025356924760569003,20
matmul_32x80x128,32,80,128,1.06794195,1.027143,1.252947,0.059011946610723176,20
matmul_32x80x32,32,80,32,1.13137515,1.019911,1.278572,0.08492236068208667,20
matmul_32x80x48,32,80,48,1.0563170499999999,1.004286,1.25,0.06773947335154545,20
matmul_32x80x64,32,80,64,1.06229905,1.028572,1.22,0.06288114753328401,20
matmul_32x80x80,32,80,80,1.09634815,1.041428,1.23,0.06730206430029899,20
matmul_32x80x96,32,80,96,1.07127225,1.027054,1.228482,0.05572153162200974,20
matmul_32x96x112,32,96,112,1.1062275,1.048571,1.308571,0.07499377072902717,20
matmul_32x96x128,32,96,128,1.0980043,1.041339,1.264196,0.07063635597242514,20
matmul_32x96x32,32,96,32,1.09090615,1.024197,1.238571,0.04401968990215151,20
matmul_32x96x48,32,96,48,1.03250445,1.002947,1.105804,0.023952994524309042,20
matmul_32x96x64,32,96,64,1.05447315,1.038482,1.217233,0.04285974869179338,20
