kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_112x112x112,112,112,112,1.3437991,1.2,1.514375,0.1088015222256612,20,494
matmul_112x112x128,112,112,128,1.30583485,1.2,1.507142,0.0925112210487121,20,494
matmul_112x112x32,112,112,32,1.2924195,1.251339,1.43,0.0628936139662592,20,494
matmul_112x112x48,112,112,48,1.27020525,1.22866,1.422857,0.0443253275439852,20,494
matmul_112x112x64,112,112,64,1.2808572,1.237143,1.481428,0.0615013794818329,20,494
matmul_112x112x80,112,112,80,1.33070515,1.275714,1.534285,0.0824544121083536,20,494
matmul_112x112x96,112,112,96,1.37119645,1.312768,1.574285,0.0810423012405607,20,494
matmul_112x128x112,112,128,112,1.30799995,1.201428,1.53,0.0854851386834823,20,494
matmul_112x128x128,112,128,128,1.2359377,1.205714,1.529911,0.0826387637696677,20,494
matmul_112x128x32,112,128,32,1.2863618,1.221518,1.43009,0.0732135861993415,20,494
matmul_112x128x48,112,128,48,1.2862054,1.231429,1.492858,0.0826166258929571,20,494
matmul_112x128x64,112,128,64,1.2753617,1.235714,1.464197,0.0528516450524235,20,494
matmul_112x128x80,112,128,80,1.3077813,1.264375,1.505714,0.0532919676845839,20,494
matmul_112x128x96,112,128,96,1.36342855,1.305714,1.574375,0.0813140379493538,20,494
matmul_112x32x112,112,32,112,1.13669185,1.07991,1.268571,0.0739480864257415,20,414
matmul_112x32x128,112,32,128,1.09608475,1.077232,1.244286,0.0467199369793588,20,414
matmul_112x32x32,112,32,32,1.1526248,1.115625,1.254285,0.0385790500737054,20,414
matmul_112x32x48,112,32,48,1.02650875,1.002946,1.184286,0.0379945461333804,20,414
matmul_112x32x64,112,32,64,1.05657585,1.018572,1.175715,0.0520248266041016,20,414
matmul_112x32x80,112,32,80,1.0888528,1.034196,1.272768,0.0740765185791016,20,414
matmul_112x32x96,112,32,96,1.0828125,1.041517,1.228571,0.0441758347724421,20,414
matmul_112x48x112,112,48,112,1.13885725,1.085625,1.335714,0.0822549125865344,20,430
matmul_112x48x128,112,48,128,1.1214195,1.08,1.302857,0.0608303712158914,20,430
matmul_112x48x32,112,48,32,1.1906206,1.154286,1.36,0.0656780192040565,20,430
matmul_112x48x48,112,48,48,1.18913835,1.161429,1.365804,0.0620255802028697,20,430
matmul_112x48x64,112,48,64,1.1035179,1.04,1.28,0.070961674679031,20,430
matmul_112x48x80,112,48,80,1.09086155,1.055714,1.198572,0.0386050793787484,20,430
