kernel_name,batch_size,channels,height,width,total_elements,avg_duration_us,predicted_duration_us,residuals
"layer_norm_(1,64,128,128)",1,64,128,128,1048576,40.04910733333333,-55.62259486368214,95.67170219701546
"layer_norm_(1,64,128,256)",1,64,128,256,2097152,49.549494,-30.009760560042658,79.55925456004266
"layer_norm_(1,64,128,384)",1,64,128,384,3145728,79.22812499999999,-4.396926256403177,83.62505125640317
"layer_norm_(1,64,128,512)",1,64,128,512,4194304,95.12482133333332,21.21590804723631,73.908913286097
"layer_norm_(1,64,128,640)",1,64,128,640,5242880,118.93523833333334,46.828742350875785,72.10649598245756
"layer_norm_(1,64,128,768)",1,64,128,768,6291456,140.02812533333335,72.44157665451527,67.58654867881808
"layer_norm_(1,64,128,896)",1,64,128,896,7340032,161.61809566666668,98.05441095815476,63.563684708511914
"layer_norm_(1,64,128,1024)",1,64,128,1024,8388608,183.86190466666667,123.66724526179425,60.194659404872425
"layer_norm_(1,64,256,128)",1,64,256,128,2097152,49.22339266666666,-30.009760560042658,79.23315322670932
"layer_norm_(1,64,256,256)",1,64,256,256,4194304,96.09145866666668,21.21590804723631,74.87555061943037
"layer_norm_(1,64,256,384)",1,64,256,384,6291456,139.88717266666666,72.44157665451527,67.44559601215138
"layer_norm_(1,64,256,512)",1,64,256,512,8388608,183.82619066666663,123.66724526179425,60.158945404872384
"layer_norm_(1,64,256,640)",1,64,256,640,10485760,225.6209523333333,174.8929138690732,50.728038464260095
"layer_norm_(1,64,256,768)",1,64,256,768,12582912,275.6128573333333,226.11858247635217,49.49427485698112
"layer_norm_(1,64,256,896)",1,64,256,896,14680064,318.79095233333334,277.34425108363115,41.44670124970219
"layer_norm_(1,64,256,1024)",1,64,256,1024,16777216,367.198512,328.5699196909101,38.62859230908987
"layer_norm_(1,64,384,128)",1,64,384,128,3145728,78.94196433333333,-4.396926256403177,83.33889058973651
"layer_norm_(1,64,384,256)",1,64,384,256,6291456,140.30377966666666,72.44157665451527,67.86220301215138
"layer_norm_(1,64,384,384)",1,64,384,384,9437184,216.81,149.28007956543374,67.52992043456626
"layer_norm_(1,64,384,512)",1,64,384,512,12582912,276.319018,226.11858247635217,50.200435523647855
"layer_norm_(1,64,384,640)",1,64,384,640,15728640,357.4410116666666,302.95708538727064,54.48392627939597
"layer_norm_(1,64,384,768)",1,64,384,768,18874368,408.77622033333336,379.7955882981891,28.980632035144254
"layer_norm_(1,64,384,896)",1,64,384,896,22020096,494.0423806666666,456.6340912091075,37.40828945755908
"layer_norm_(1,64,384,1024)",1,64,384,1024,25165824,548.8300003333334,533.472594120026,15.3574062133074
"layer_norm_(1,64,512,128)",1,64,512,128,4194304,94.804702,21.21590804723631,73.5887939527637
"layer_norm_(1,64,512,256)",1,64,512,256,8388608,182.332887,123.66724526179425,58.66564173820575
"layer_norm_(1,64,512,384)",1,64,512,384,12582912,275.7690473333333,226.11858247635217,49.6504648569811
"layer_norm_(1,64,512,512)",1,64,512,512,16777216,366.5004763333333,328.5699196909101,37.9305566424232
"layer_norm_(1,64,512,640)",1,64,512,640,20971520,456.8662203333333,431.021256905468,25.844963427865252
"layer_norm_(1,64,512,768)",1,64,512,768,25165824,548.9552383333333,533.472594120026,15.482644213307367
"layer_norm_(1,64,512,896)",1,64,512,896,29360128,639.7857439999999,635.9239313345839,3.8618126654159823
"layer_norm_(1,64,512,1024)",1,64,512,1024,33554432,734.1828869999999,738.3752685491419,-4.192381549141942
"layer_norm_(1,64,640,128)",1,64,640,128,5242880,118.48330366666666,46.828742350875785,71.65456131579087
"layer_norm_(1,64,640,256)",1,64,640,256,10485760,226.006726,174.8929138690732,51.11381213092679
"layer_norm_(1,64,640,384)",1,64,640,384,15728640,356.8104763333333,302.95708538727064,53.85339094606269
"layer_norm_(1,64,640,512)",1,64,640,512,20971520,457.5109526666667,431.021256905468,26.489695761198675
"layer_norm_(1,64,640,640)",1,64,640,640,26214400,598.9776189999999,559.0854284236655,39.89219057633443
"layer_norm_(1,64,640,768)",1,64,640,768,31457280,686.6228573333334,687.1495999418629,-0.5267426085295028
"layer_norm_(1,64,640,896)",1,64,640,896,36700160,831.7800000000001,815.2137714600603,16.566228539939743
"layer_norm_(1,64,640,1024)",1,64,640,1024,41943040,921.8000296666664,943.2779429782577,-21.477913311591237
"layer_norm_(1,64,768,128)",1,64,768,128,6291456,139.58044633333336,72.44157665451527,67.13886967881808
"layer_norm_(1,64,768,256)",1,64,768,256,12582912,271.44714266666665,226.11858247635217,45.32856019031448
"layer_norm_(1,64,768,384)",1,64,768,384,18874368,407.99285733333335,379.7955882981891,28.197269035144245
"layer_norm_(1,64,768,512)",1,64,768,512,25165824,548.032887,533.472594120026,14.560292879973986
"layer_norm_(1,64,768,640)",1,64,768,640,31457280,685.7915173333334,687.1495999418629,-1.3580826085294575
"layer_norm_(1,64,768,768)",1,64,768,768,37748736,829.0832736666666,840.8266057636998,-11.743332097033203
"layer_norm_(1,64,768,896)",1,64,768,896,44040192,1680.0918453333334,994.5036115855366,685.5882337477967
"layer_norm_(1,64,768,1024)",1,64,768,1024,50331648,1103.1814583333332,1148.1806174073736,-44.999159074040335
"layer_norm_(1,64,896,128)",1,64,896,128,7340032,161.19282766666666,98.05441095815476,63.1384167085119
"layer_norm_(1,64,896,256)",1,64,896,256,14680064,319.32952366666666,277.34425108363115,41.98527258303551
"layer_norm_(1,64,896,384)",1,64,896,384,22020096,493.2371726666667,456.6340912091075,36.6030814575592
"layer_norm_(1,64,896,512)",1,64,896,512,29360128,640.4618746666666,635.9239313345839,4.537943332082705
"layer_norm_(1,64,896,640)",1,64,896,640,36700160,831.0209523333333,815.2137714600603,15.807180873272955
"layer_norm_(1,64,896,768)",1,64,896,768,44040192,1680.5757139999998,994.5036115855366,686.0721024144632
"layer_norm_(1,64,896,896)",1,64,896,896,51380224,1650.4714586666666,1173.7934517110132,476.6780069556535
"layer_norm_(1,64,896,1024)",1,64,896,1024,58720256,1348.8862496666666,1353.0832918364895,-4.1970421698229075
"layer_norm_(1,64,1024,128)",1,64,1024,128,8388608,183.5219046666667,123.66724526179425,59.85465940487245
"layer_norm_(1,64,1024,256)",1,64,1024,256,16777216,361.9085416666667,328.5699196909101,33.33862197575655
"layer_norm_(1,64,1024,384)",1,64,1024,384,25165824,548.202381,533.472594120026,14.729786879973972
"layer_norm_(1,64,1024,512)",1,64,1024,512,33554432,734.4238096666668,738.3752685491419,-3.9514588824750945
"layer_norm_(1,64,1024,640)",1,64,1024,640,41943040,920.930536,943.2779429782577,-22.34740697825771
"layer_norm_(1,64,1024,768)",1,64,1024,768,50331648,1848.206190333333,1148.1806174073736,700.0255729259595
"layer_norm_(1,64,1024,896)",1,64,1024,896,58720256,1348.3366666666668,1353.0832918364895,-4.746625169822664
"layer_norm_(1,64,1024,1024)",1,64,1024,1024,67108864,1463.9433626666666,1557.9859662656054,-94.04260359893874
"layer_norm_(1,128,128,128)",1,128,128,128,2097152,39.35568466666666,-30.009760560042658,69.36544522670931
"layer_norm_(1,128,128,256)",1,128,128,256,4194304,98.26003,21.21590804723631,77.04412195276369
"layer_norm_(1,128,128,384)",1,128,128,384,6291456,92.30089266666666,72.44157665451527,19.859316012151382
"layer_norm_(1,128,128,512)",1,128,128,512,8388608,189.1242553333333,123.66724526179425,65.45701007153906
"layer_norm_(1,128,128,640)",1,128,128,640,10485760,154.80619066666668,174.8929138690732,-20.086723202406517
"layer_norm_(1,128,128,768)",1,128,128,768,12582912,278.610566,226.11858247635217,52.49198352364783
"layer_norm_(1,128,128,896)",1,128,128,896,14680064,217.4319046666667,277.34425108363115,-59.91234641696445
"layer_norm_(1,128,128,1024)",1,128,128,1024,16777216,366.6176786666667,328.5699196909101,38.04775897575655
"layer_norm_(1,128,256,128)",1,128,256,128,4194304,97.682411,21.21590804723631,76.46650295276369
"layer_norm_(1,128,256,256)",1,128,256,256,8388608,191.21288733333336,123.66724526179425,67.5456420715391
"layer_norm_(1,128,256,384)",1,128,256,384,12582912,278.927619,226.11858247635217,52.80903652364782
"layer_norm_(1,128,256,512)",1,128,256,512,16777216,366.222857,328.5699196909101,37.65293730908985
"layer_norm_(1,128,256,640)",1,128,256,640,20971520,450.2871723333333,431.021256905468,19.265915427865252
"layer_norm_(1,128,256,768)",1,128,256,768,25165824,549.8600299999999,533.472594120026,16.387435879973964
"layer_norm_(1,128,256,896)",1,128,256,896,29360128,636.53375,635.9239313345839,0.6098186654161282
"layer_norm_(1,128,256,1024)",1,128,256,1024,33554432,732.8094936666666,738.3752685491419,-5.565774882475239
"layer_norm_(1,128,384,128)",1,128,384,128,6291456,90.35285733333336,72.44157665451527,17.911280678818088
"layer_norm_(1,128,384,256)",1,128,384,256,12582912,279.316161,226.11858247635217,53.19757852364785
"layer_norm_(1,128,384,384)",1,128,384,384,18874368,274.521012,379.7955882981891,-105.27457629818912
"layer_norm_(1,128,384,512)",1,128,384,512,25165824,550.9709523333335,533.472594120026,17.498358213307483
"layer_norm_(1,128,384,640)",1,128,384,640,31457280,462.19092266666667,687.1495999418629,-224.95867727519624
"layer_norm_(1,128,384,768)",1,128,384,768,37748736,815.6142856666667,840.8266057636998,-25.21232009703317
"layer_norm_(1,128,384,896)",1,128,384,896,44040192,650.317649,994.5036115855366,-344.1859625855367
"layer_norm_(1,128,384,1024)",1,128,384,1024,50331648,1096.004762,1148.1806174073736,-52.17585540737355
"layer_norm_(1,128,512,128)",1,128,512,128,8388608,188.791458,123.66724526179425,65.12421273820576
"layer_norm_(1,128,512,256)",1,128,512,256,16777216,363.30806566666666,328.5699196909101,34.73814597575654
"layer_norm_(1,128,512,384)",1,128,512,384,25165824,550.5414286666665,533.472594120026,17.068834546640574
"layer_norm_(1,128,512,512)",1,128,512,512,33554432,731.2804463333333,738.3752685491419,-7.094822215808563
"layer_norm_(1,128,512,640)",1,128,512,640,41943040,912.5461606666668,943.2779429782577,-30.731782311590905
"layer_norm_(1,128,512,768)",1,128,512,768,50331648,1095.973363,1148.1806174073736,-52.20725440737351
"layer_norm_(1,128,512,896)",1,128,512,896,58720256,1278.2023513333334,1353.0832918364895,-74.88094050315613
"layer_norm_(1,128,512,1024)",1,128,512,1024,67108864,1466.251488,1557.9859662656054,-91.73447826560528
"layer_norm_(1,128,640,128)",1,128,640,128,10485760,160.7876193333333,174.8929138690732,-14.105294535739887
"layer_norm_(1,128,640,256)",1,128,640,256,20971520,450.75383933333336,431.021256905468,19.73258242786534
