kernel_name,dim_m,dim_n,dim_k,fusion_avg,fusion_min,fusion_max,fusion_stddev,sample_count,scale_sim_cycles
matmul_1536x1536x1536,1536,1536,1536,73.8788303,73.777054,73.96866,0.0637204843847971,10,276192
matmul_1536x1536x2048,1536,1536,2048,94.2892947,94.122946,94.4,0.090393224286449,10,368256
matmul_1536x1536x2560,1536,1536,2560,101.1057145,101.002858,101.304286,0.1063766917079223,10,460320
matmul_1536x1536x3072,1536,1536,3072,119.7784286,119.657143,120.11,0.1663312186333157,10,552384
matmul_1536x1536x3584,1536,1536,3584,135.3115625,135.164375,135.678482,0.1702079209295684,10,644448
matmul_1536x1536x4096,1536,1536,4096,153.5414107,153.39,153.731429,0.1345790935060104,10,736512
matmul_1536x2048x1024,1536,2048,1024,66.8898395,66.708571,67.042858,0.1365903387117408,10,233280
matmul_1536x2048x1536,1536,2048,1536,92.6104466,92.425715,92.747233,0.1315973880331809,10,349920
matmul_1536x2048x2048,1536,2048,2048,140.1850179,140.034286,140.275714,0.0674266488043744,10,466560
matmul_1536x2048x2560,1536,2048,2560,149.2308482,149.034196,149.427232,0.1407285432792917,10,583200
matmul_1536x2048x3072,1536,2048,3072,140.25241979999998,139.978571,140.391429,0.144594957297044,10,699840
matmul_1536x2048x3584,1536,2048,3584,159.9322856,159.755803,160.051429,0.081105469303457,10,816480
matmul_1536x2048x4096,1536,2048,4096,229.267009,229.128572,229.478571,0.134756838126221,10,933120
matmul_1536x2560x1024,1536,2560,1024,80.1764196,80.018482,80.38,0.1613780215051982,10,282432
matmul_1536x2560x1536,1536,2560,1536,126.393607,126.211428,126.672857,0.1675301798973661,10,423648
matmul_1536x2560x2048,1536,2560,2048,162.319018,162.102858,162.48,0.1136978133142558,10,564864
matmul_1536x2560x2560,1536,2560,2560,165.9951517,165.901429,166.127143,0.062234658645143,10,706080
matmul_1536x2560x3072,1536,2560,3072,194.4634554,194.228661,194.551518,0.0919095939426981,10,847296
matmul_1536x2560x3584,1536,2560,3584,243.0421428,242.840089,243.32866,0.1630548907520997,10,988512
matmul_1536x2560x4096,1536,2560,4096,251.5464376,251.397143,251.604286,0.0607041831145114,10,1129728
matmul_1536x3072x1024,1536,3072,1024,98.5504108,98.388572,98.744286,0.1130892276653954,10,331584
matmul_1536x3072x1536,1536,3072,1536,136.7980178,136.611518,136.922768,0.1148482801581677,10,497376
matmul_1536x3072x2048,1536,3072,2048,184.8792946,184.792946,184.964286,0.052870284391137,10,663168
matmul_1536x3072x2560,1536,3072,2560,221.7537052,221.625714,222.104196,0.1622945496173926,10,828960
matmul_1536x3072x3072,1536,3072,3072,220.9301429,220.751428,221.197053,0.1409267657342753,10,994752
matmul_1536x3072x3584,1536,3072,3584,236.6374643,236.355804,236.812946,0.1319133928589758,10,1160544
matmul_1536x3072x4096,1536,3072,4096,285.5385892,285.331429,285.722947,0.1231202335341709,10,1326336
matmul_1536x3584x1024,1536,3584,1024,116.9608751,116.74,117.228571,0.1698447821011562,10,380736
matmul_1536x3584x1536,1536,3584,1536,162.6971431,162.467054,162.804286,0.1436006413761983,10,571104
matmul_1536x3584x2048,1536,3584,2048,174.7923037,174.497143,174.902768,0.1146049570055068,10,761472
matmul_1536x3584x2560,1536,3584,2560,241.4604643,241.37,241.527143,0.0509567810688629,10,951840
matmul_1536x3584x3072,1536,3584,3072,246.6008928,246.462857,246.807143,0.1049288653875106,10,1142208
matmul_1536x3584x3584,1536,3584,3584,285.0990002,284.89134,285.26009,0.1212101365249534,10,1332576
matmul_1536x3584x4096,1536,3584,4096,318.4019909,318.294286,318.542857,0.062591096194004,10,1522944
matmul_1536x4096x1024,1536,4096,1024,130.1874195,130.027143,130.437143,0.1823407456794722,10,429888
matmul_1536x4096x1536,1536,4096,1536,181.0237145,180.885715,181.16,0.086923963518889,10,644832
matmul_1536x4096x2048,1536,4096,2048,275.9761159,275.725625,276.112768,0.1158368669786793,10,859776
matmul_1536x4096x2560,1536,4096,2560,275.1635625,275.064197,275.349911,0.0875597246978806,10,1074720
matmul_1536x4096x3072,1536,4096,3072,274.5824551,274.410089,274.761518,0.1413257151464447,10,1289664
matmul_1536x4096x3584,1536,4096,3584,313.4945804,313.281339,313.654375,0.1013480051891589,10,1504608
matmul_1536x4096x4096,1536,4096,4096,360.6868392,360.511429,360.865714,0.1272274223924287,10,1719552
matmul_2048x1024x1024,2048,1024,1024,55.145616,55.004375,55.358571,0.1328234315782504,10,155520
matmul_2048x1024x1536,2048,1024,1536,77.3046874,77.155625,77.438571,0.0952159575435395,10,233280
matmul_2048x1024x2048,2048,1024,2048,99.4000178,99.185804,99.591518,0.1494917151623361,10,311040
matmul_2048x1024x2560,2048,1024,2560,88.1273036,88.007143,88.401429,0.1226606310029593,10,388800
matmul_2048x1024x3072,2048,1024,3072,102.639143,102.52866,102.841518,0.0907235522403678,10,466560
matmul_2048x1024x3584,2048,1024,3584,117.5518839,117.331429,117.731429,0.1508894023319723,10,544320
matmul_2048x1024x4096,2048,1024,4096,132.0347054,131.811429,132.4,0.1901694727325565,10,622080
matmul_2048x1536x1024,2048,1536,1024,81.20610690000001,81.042857,81.517053,0.1644078183126422,10,233280
matmul_2048x1536x1536,2048,1536,1536,91.6792587,91.428572,91.881339,0.1420699745603077,10,349920
matmul_2048x1536x2048,2048,1536,2048,147.0168661,146.852947,147.214286,0.1354580610672514,10,466560
matmul_2048x1536x2560,2048,1536,2560,143.80941090000002,143.574286,143.962768,0.16622682332848,10,583200
matmul_2048x1536x3072,2048,1536,3072,168.4084196,168.210089,168.617054,0.1778408258610259,10,699840
matmul_2048x1536x3584,2048,1536,3584,154.25703579999998,154.087232,154.472858,0.1623922194392343,10,816480
matmul_2048x1536x4096,2048,1536,4096,167.6791249,167.55,167.977143,0.1572473520034583,10,933120
matmul_2048x2048x1024,2048,2048,1024,107.2671517,107.118482,107.567143,0.1724444587448063,10,311040
matmul_2048x2048x1536,2048,2048,1536,150.989259,150.84,151.231429,0.1615131092188973,10,466560
matmul_2048x2048x2048,2048,2048,2048,141.6861519,141.478482,141.822858,0.1118505287798002,10,622080
matmul_2048x2048x2560,2048,2048,2560,171.0230178,170.698661,171.251428,0.1955010151589486,10,777600
matmul_2048x2048x3072,2048,2048,3072,200.5098662,200.277143,200.727143,0.1618745657310729,10,933120
matmul_2048x2048x3584,2048,2048,3584,230.4921608,230.302946,230.745714,0.1673727343279095,10,1088640
matmul_2048x2048x4096,2048,2048,4096,259.3304287,259.114285,259.588661,0.1764731543411684,10,1244160
matmul_2048x2560x1024,2048,2560,1024,111.8211427,111.635714,111.984286,0.1438232069714997,10,376576
matmul_2048x2560x1536,2048,2560,1536,149.7492944,149.655803,149.857232,0.06507479646991,10,564864
matmul_2048x2560x2048,2048,2560,2048,191.5514643,191.414285,191.734375,0.1047840485613156,10,753152
matmul_2048x2560x2560,2048,2560,2560,246.7218842,246.43134,246.888661,0.1179387987981711,10,941440
matmul_2048x2560x3072,2048,2560,3072,244.2509823,244.022857,244.374375,0.13311106863489,10,1129728
matmul_2048x2560x3584,2048,2560,3584,283.3394285,283.048571,283.562857,0.1909543263769023,10,1318016
matmul_2048x2560x4096,2048,2560,4096,316.0988662,315.962857,316.280089,0.1314162060653966,10,1506304
matmul_2048x3072x1024,2048,3072,1024,119.0668304,118.877143,119.168572,0.1088270740621687,10,442112
matmul_2048x3072x1536,2048,3072,1536,171.4113035,171.251428,171.561428,0.0844035088584064,10,663168
matmul_2048x3072x2048,2048,3072,2048,246.3508481,246.245714,246.494286,0.0871579863472048,10,884224
matmul_2048x3072x2560,2048,3072,2560,259.9799644,259.665625,260.288482,0.2097991962034189,10,1105280
matmul_2048x3072x3072,2048,3072,3072,284.1765447,283.972947,284.412858,0.1578152490745412,10,1326336
matmul_2048x3072x3584,2048,3072,3584,324.5084465,324.371518,324.662857,0.1003944216624852,10,1547392
matmul_2048x3072x4096,2048,3072,4096,398.2648574,398.074286,398.440089,0.0942696580067651,10,1768448
matmul_2048x3584x1024,2048,3584,1024,140.9524197,140.700089,141.119911,0.1296775727264912,10,507648
matmul_2048x3584x1536,2048,3584,1536,194.3621609,194.091429,194.530089,0.1144633572560335,10,761472
matmul_2048x3584x2048,2048,3584,2048,286.4967054,286.364375,286.585714,0.0692293824955196,10,1015296
matmul_2048x3584x2560,2048,3584,2560,312.8041159,312.661429,312.971429,0.1132339796168903,10,1269120
matmul_2048x3584x3072,2048,3584,3072,322.7172857,322.564197,322.917143,0.1512496840731738,10,1522944
matmul_2048x3584x3584,2048,3584,3584,426.7639912,426.437143,426.899911,0.1525619145438534,10,1776768
matmul_2048x3584x4096,2048,3584,4096,480.0883124,479.814285,480.268571,0.1726147244203478,10,2030592
matmul_2048x4096x1024,2048,4096,1024,157.2625267,157.071339,157.374286,0.1099661667474251,10,573184
matmul_2048x4096x1536,2048,4096,1536,255.616866,255.385715,255.782946,0.1395250928232388,10,859776
matmul_2048x4096x2048,2048,4096,2048,326.6234286,326.488571,326.762858,0.0895134991734077,10,1146368
matmul_2048x4096x2560,2048,4096,2560,344.8945803,344.662857,345.048482,0.1329749768507502,10,1432960
